,0
mach,0.1179
reynolds,3364900
cl_max_2d,1.6474
cl_min_2d,-1.646
cd_min_2d,0.00513
alpha,"[-20.0, -19.5, -19.0, -18.5, -18.0, -17.5, -17.0, -16.5, -16.0, -15.5, -15.0, -14.5, -14.0, -13.5, -13.0, -12.5, -12.0, -11.5, -11.0, -10.5, -10.0, -9.5, -9.0, -8.5, -8.0, -7.5, -6.5, -6.0, -5.5, -5.0, -4.5, -4.0, -3.5, -3.0, -2.5, -2.0, -1.5, -1.0, -0.5, 0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.5, 4.0, 4.5, 5.0, 5.5, 6.0, 6.5, 7.0, 7.5, 8.5, 9.0, 9.5, 10.0, 10.5, 11.0, 11.5, 12.0, 12.5, 13.0, 13.5, 14.0, 14.5, 15.0, 15.5, 16.0, 16.5, 17.0, 17.5, 18.0, 18.5, 19.0, 19.5, 20.0]"
cl,"[-1.5172, -1.5808, -1.6231, -1.6471, -1.6564, -1.655, -1.646, -1.6315, -1.6126, -1.5898, -1.5636, -1.5342, -1.4976, -1.4561, -1.4116, -1.3668, -1.3199, -1.2723, -1.2239, -1.1762, -1.1319, -1.0878, -1.0272, -0.9638, -0.899, -0.8342, -0.718, -0.6646, -0.6112, -0.5568, -0.5024, -0.4473, -0.3922, -0.3366, -0.2813, -0.2256, -0.1693, -0.1131, -0.0563, -0.0, 0.0563, 0.1131, 0.1693, 0.2256, 0.2813, 0.3922, 0.4473, 0.5024, 0.5568, 0.6112, 0.6647, 0.718, 0.7744, 0.8343, 0.9639, 1.0273, 1.0877, 1.1318, 1.1762, 1.2239, 1.2724, 1.32, 1.3669, 1.4118, 1.4564, 1.4979, 1.5346, 1.5643, 1.5907, 1.6137, 1.6328, 1.6474, 1.6568, 1.6583, 1.6494, 1.6255, 1.5837, 1.5207]"
cd,"[0.08196, 0.06542, 0.05277, 0.04334, 0.03643, 0.03142, 0.02772, 0.02491, 0.02275, 0.02105, 0.01971, 0.01838, 0.01712, 0.01609, 0.01522, 0.0143, 0.01352, 0.01281, 0.01222, 0.01174, 0.01113, 0.01068, 0.01024, 0.00965, 0.00917, 0.00873, 0.0078, 0.00742, 0.00707, 0.00675, 0.00649, 0.00625, 0.00599, 0.00578, 0.00555, 0.00537, 0.00529, 0.00517, 0.00513, 0.00513, 0.00513, 0.00517, 0.00529, 0.00538, 0.00555, 0.00599, 0.00625, 0.00649, 0.00675, 0.00707, 0.00742, 0.0078, 0.00829, 0.00872, 0.00965, 0.01024, 0.01068, 0.01113, 0.01174, 0.01222, 0.01281, 0.01352, 0.0143, 0.01522, 0.01609, 0.01712, 0.01838, 0.01971, 0.02105, 0.02274, 0.0249, 0.02769, 0.03137, 0.03638, 0.04326, 0.0527, 0.0653, 0.08177]"
cdp,"[0.07919, 0.06237, 0.04947, 0.03981, 0.03272, 0.02754, 0.02371, 0.02078, 0.0185, 0.01669, 0.01525, 0.01381, 0.01248, 0.01139, 0.01047, 0.00951, 0.00872, 0.00799, 0.0074, 0.00689, 0.00628, 0.00582, 0.00537, 0.00478, 0.00431, 0.00387, 0.00306, 0.00272, 0.0024, 0.00212, 0.00186, 0.00162, 0.0014, 0.00122, 0.00105, 0.00093, 0.00084, 0.00077, 0.00074, 0.00073, 0.00074, 0.00077, 0.00084, 0.00093, 0.00105, 0.0014, 0.00162, 0.00186, 0.00212, 0.0024, 0.00272, 0.00305, 0.00347, 0.00387, 0.00478, 0.00536, 0.00582, 0.00627, 0.00689, 0.0074, 0.00799, 0.00872, 0.00951, 0.01047, 0.01139, 0.01247, 0.01381, 0.01525, 0.01668, 0.01848, 0.02076, 0.02368, 0.0275, 0.03267, 0.03973, 0.0494, 0.06224, 0.079]"
cm,"[-0.0149, -0.0233, -0.0293, -0.0331, -0.0348, -0.0347, -0.0333, -0.0309, -0.0277, -0.0241, -0.0202, -0.0164, -0.0137, -0.0116, -0.0098, -0.0081, -0.0066, -0.0051, -0.0037, -0.002, 0.0004, 0.0029, 0.0019, 0.0002, -0.0017, -0.0036, -0.0043, -0.0035, -0.0027, -0.0022, -0.0016, -0.0012, -0.0008, -0.0006, -0.0003, -0.0002, -0.0001, -0.0, -0.0, 0.0, 0.0, 0.0, 0.0001, 0.0002, 0.0003, 0.0008, 0.0012, 0.0016, 0.0021, 0.0027, 0.0035, 0.0043, 0.0043, 0.0036, -0.0003, -0.0019, -0.0029, -0.0004, 0.002, 0.0037, 0.0051, 0.0066, 0.0081, 0.0098, 0.0115, 0.0136, 0.0163, 0.02, 0.024, 0.0276, 0.0307, 0.0331, 0.0345, 0.0346, 0.0328, 0.029, 0.023, 0.0146]"
