,0,1
mach,0.05,0.0
reynolds,1000000,1000000
cl_max_2d,1.4388,1.4392
cl_min_2d,-1.2205,-1.2229
alpha,"[-30.0, -29.5, -27.5, -27.0, -26.5, -26.0, -25.5, -25.0, -24.5, -24.0, -23.5, -23.0, -22.5, -22.0, -21.5, -21.0, -20.5, -20.0, -19.5, -19.0, -18.5, -18.0, -17.5, -17.0, -16.5, -16.0, -15.5, -15.0, -14.5, -14.0, -13.5, -13.0, -12.5, -12.0, -11.5, -11.0, -10.5, -10.0, -9.5, -9.0, -8.5, -8.0, -7.5, -7.0, -6.5, -6.0, -5.5, -5.0, -4.5, -4.0, -3.5, -3.0, -2.5, -2.0, -1.5, -1.0, -0.5, 0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5, 4.0, 4.5, 5.5, 6.0, 6.5, 7.0, 7.5, 8.0, 8.5, 9.0, 9.5, 10.0, 10.5, 11.0, 11.5, 12.0, 12.5, 13.0, 13.5, 14.0, 14.5, 15.5, 16.0, 16.5, 17.0, 17.5, 18.0, 18.5, 19.0, 19.5, 20.0, 20.5, 21.0, 21.5, 22.0, 22.5, 23.0, 23.5, 24.0, 24.5, 25.0, 25.5, 26.0, 26.5, 27.0, 27.5, 28.0, 28.5, 29.0, 30.0]","[-27.5, -27.0, -26.5, -26.0, -25.5, -25.0, -24.5, -24.0, -23.5, -23.0, -22.5, -22.0, -21.5, -21.0, -20.5, -20.0, -19.5, -19.0, -18.5, -18.0, -17.5, -17.0, -16.5, -16.0, -15.5, -15.0, -14.5, -14.0, -13.5, -13.0, -12.5, -12.0, -11.5, -11.0, -10.5, -10.0, -9.5, -9.0, -8.5, -8.0, -7.5, -7.0, -6.5, -6.0, -5.5, -5.0, -4.5, -4.0, -3.5, -3.0, -2.5, -2.0, -1.5, -1.0, -0.5, 0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5, 4.0, 4.5, 5.5, 6.0, 6.5, 7.0, 7.5, 8.5, 9.0, 9.5, 10.0, 10.5, 11.0, 11.5, 12.0, 12.5, 13.0, 13.5, 14.0, 14.5, 15.0, 15.5, 16.5, 17.0, 17.5, 18.0, 18.5, 19.0, 19.5, 20.0, 20.5, 21.0, 21.5, 22.0, 22.5, 23.0, 23.5, 24.0, 24.5, 25.0, 25.5, 26.0, 26.5, 27.0, 27.5, 28.0, 29.0, 29.5, 30.0]"
cl,"[-0.405, -0.3938, -0.8195, -0.8084, -0.8103, -0.812, -0.8081, -0.8015, -0.7977, -0.7952, -0.7924, -0.7912, -0.797, -0.8079, -0.8233, -0.8421, -0.8739, -0.9196, -0.9758, -1.0443, -1.1101, -1.1587, -1.1977, -1.2205, -1.1896, -1.1495, -1.1078, -1.0593, -1.0072, -0.9692, -0.9321, -0.8944, -0.8527, -0.8064, -0.7593, -0.7099, -0.6597, -0.6081, -0.5561, -0.5034, -0.4504, -0.3967, -0.3426, -0.2884, -0.2335, -0.179, -0.1245, -0.0701, -0.0156, 0.0388, 0.093, 0.1468, 0.2007, 0.2545, 0.3088, 0.3632, 0.4171, 0.4696, 0.5236, 0.5757, 0.6275, 0.6806, 0.7309, 0.783, 0.8291, 0.8727, 0.9228, 1.0404, 1.0757, 1.115, 1.1545, 1.1925, 1.2299, 1.2671, 1.3024, 1.3361, 1.3674, 1.3954, 1.4199, 1.4388, 1.4554, 1.4733, 1.4918, 1.5077, 1.5254, 1.5382, 1.5436, 1.5433, 1.5455, 1.5438, 1.5435, 1.5403, 1.538, 1.5333, 1.5262, 1.5167, 1.5086, 1.5002, 1.4919, 1.4898, 1.4838, 1.4805, 1.4796, 1.4749, 1.469, 1.4629, 1.4582, 1.4549, 1.4479, 1.4493, 1.4464, 1.4437, 1.4392, 1.4346, 1.4245]","[-0.8217, -0.8125, -0.8156, -0.8164, -0.8109, -0.8044, -0.8007, -0.7982, -0.7964, -0.7956, -0.8025, -0.8148, -0.8294, -0.8502, -0.8837, -0.9314, -0.9917, -1.0609, -1.1232, -1.1682, -1.2056, -1.2229, -1.1907, -1.1497, -1.1081, -1.0586, -1.0068, -0.969, -0.9317, -0.8935, -0.8517, -0.8052, -0.7581, -0.7089, -0.6586, -0.6072, -0.5552, -0.5026, -0.4496, -0.396, -0.342, -0.2878, -0.2331, -0.1787, -0.1242, -0.0698, -0.0154, 0.0389, 0.0929, 0.1467, 0.2005, 0.2544, 0.3086, 0.3629, 0.4167, 0.4691, 0.5232, 0.5751, 0.627, 0.6799, 0.7303, 0.7823, 0.8286, 0.8722, 0.9222, 1.0402, 1.0752, 1.1144, 1.1539, 1.1919, 1.2663, 1.3017, 1.3355, 1.3669, 1.3952, 1.4196, 1.4392, 1.4557, 1.4737, 1.4921, 1.5084, 1.5262, 1.5396, 1.5449, 1.5453, 1.5482, 1.5461, 1.5461, 1.5427, 1.541, 1.5361, 1.5293, 1.5201, 1.512, 1.5038, 1.495, 1.4923, 1.4866, 1.4824, 1.4821, 1.4777, 1.4718, 1.4661, 1.4611, 1.4588, 1.4521, 1.451, 1.4488, 1.4457, 1.4367, 1.4296, 1.4265]"
cd,"[0.25314, 0.2501, 0.23056, 0.22481, 0.21594, 0.2073, 0.19997, 0.19324, 0.18597, 0.1785, 0.1712, 0.16363, 0.15489, 0.14548, 0.13548, 0.12523, 0.1132, 0.09955, 0.085, 0.06963, 0.05561, 0.0448, 0.03731, 0.03195, 0.02767, 0.02456, 0.02231, 0.0206, 0.01906, 0.01787, 0.01691, 0.01599, 0.01521, 0.01457, 0.01398, 0.01346, 0.01293, 0.01246, 0.01198, 0.01156, 0.01114, 0.01076, 0.01044, 0.01016, 0.00989, 0.00964, 0.00941, 0.00923, 0.0091, 0.00899, 0.00889, 0.00879, 0.00874, 0.00873, 0.00869, 0.00867, 0.00867, 0.00867, 0.00859, 0.00851, 0.00849, 0.00848, 0.00857, 0.00858, 0.00871, 0.00875, 0.00907, 0.0099, 0.01035, 0.01091, 0.01156, 0.01233, 0.01318, 0.01408, 0.01511, 0.01627, 0.01761, 0.01918, 0.02103, 0.02334, 0.02596, 0.02866, 0.03148, 0.03467, 0.03783, 0.04157, 0.05135, 0.05684, 0.0622, 0.06812, 0.07395, 0.08025, 0.08649, 0.09313, 0.10013, 0.10752, 0.11486, 0.1223, 0.12982, 0.13654, 0.14387, 0.15082, 0.15747, 0.16476, 0.17232, 0.17992, 0.18732, 0.19455, 0.20251, 0.20892, 0.21616, 0.22337, 0.23097, 0.23862, 0.25409]","[0.22957, 0.22338, 0.2143, 0.20593, 0.199, 0.19226, 0.18499, 0.17756, 0.17009, 0.16251, 0.1536, 0.14398, 0.13416, 0.12365, 0.11141, 0.09752, 0.08245, 0.0671, 0.0536, 0.04337, 0.03635, 0.03124, 0.0272, 0.02424, 0.02208, 0.02045, 0.01892, 0.01778, 0.01682, 0.01592, 0.01516, 0.01453, 0.01394, 0.01342, 0.0129, 0.01243, 0.01196, 0.01153, 0.01112, 0.01074, 0.01043, 0.01014, 0.00987, 0.00962, 0.0094, 0.00922, 0.00909, 0.00898, 0.00888, 0.00878, 0.00873, 0.00872, 0.00868, 0.00866, 0.00866, 0.00866, 0.00857, 0.0085, 0.00847, 0.00847, 0.00855, 0.00857, 0.00869, 0.00873, 0.00905, 0.00989, 0.01033, 0.01088, 0.01152, 0.01228, 0.01402, 0.01504, 0.01618, 0.0175, 0.01904, 0.02089, 0.02313, 0.02573, 0.02841, 0.03121, 0.03434, 0.03747, 0.04111, 0.04565, 0.05083, 0.06151, 0.06746, 0.07323, 0.07954, 0.08569, 0.09232, 0.09928, 0.1066, 0.1139, 0.1213, 0.12886, 0.13564, 0.14291, 0.14998, 0.15651, 0.16371, 0.17123, 0.17875, 0.18617, 0.19316, 0.20101, 0.20787, 0.21494, 0.2222, 0.23734, 0.24547, 0.25279]"
cdp,"[0.25144, 0.24839, 0.22813, 0.22237, 0.21343, 0.20469, 0.19729, 0.19054, 0.18322, 0.17568, 0.1683, 0.16068, 0.15189, 0.1424, 0.13229, 0.12192, 0.10974, 0.0959, 0.08112, 0.06548, 0.05117, 0.04012, 0.03243, 0.02691, 0.0225, 0.0193, 0.01697, 0.01518, 0.01358, 0.01232, 0.01129, 0.01033, 0.00954, 0.00885, 0.00821, 0.00762, 0.00702, 0.0065, 0.00598, 0.0055, 0.00507, 0.00469, 0.00435, 0.00404, 0.00375, 0.00349, 0.00325, 0.00306, 0.0029, 0.00277, 0.00266, 0.00258, 0.00253, 0.00251, 0.0025, 0.00251, 0.00256, 0.00262, 0.00269, 0.00281, 0.00295, 0.00311, 0.00331, 0.00351, 0.00379, 0.00404, 0.00438, 0.00502, 0.00536, 0.00581, 0.00636, 0.00701, 0.00777, 0.00859, 0.00955, 0.01063, 0.0119, 0.0134, 0.01518, 0.01739, 0.01995, 0.02263, 0.02548, 0.02868, 0.03191, 0.03569, 0.0455, 0.05105, 0.05652, 0.06252, 0.06847, 0.07487, 0.08122, 0.08796, 0.09505, 0.10253, 0.10997, 0.11753, 0.12516, 0.13201, 0.13944, 0.14651, 0.15327, 0.16064, 0.16827, 0.17596, 0.18346, 0.19079, 0.19885, 0.20536, 0.2127, 0.22001, 0.22769, 0.23542, 0.25106]","[0.22714, 0.22093, 0.21176, 0.20329, 0.19631, 0.18955, 0.18223, 0.17472, 0.16717, 0.15955, 0.15058, 0.14087, 0.13095, 0.12031, 0.10791, 0.09383, 0.07852, 0.06289, 0.0491, 0.03863, 0.03142, 0.02616, 0.022, 0.01895, 0.01672, 0.01501, 0.01342, 0.01221, 0.01119, 0.01025, 0.00947, 0.0088, 0.00816, 0.00758, 0.00698, 0.00646, 0.00595, 0.00547, 0.00505, 0.00467, 0.00433, 0.00402, 0.00374, 0.00347, 0.00324, 0.00305, 0.00289, 0.00276, 0.00265, 0.00258, 0.00253, 0.0025, 0.00249, 0.00251, 0.00255, 0.00262, 0.00268, 0.0028, 0.00294, 0.0031, 0.0033, 0.00349, 0.00377, 0.00403, 0.00436, 0.005, 0.00533, 0.00578, 0.00632, 0.00696, 0.00853, 0.00947, 0.01054, 0.01179, 0.01326, 0.01503, 0.01718, 0.01971, 0.02237, 0.02519, 0.02834, 0.03153, 0.03522, 0.03976, 0.04496, 0.0558, 0.06184, 0.06772, 0.07413, 0.0804, 0.08713, 0.09418, 0.10158, 0.10899, 0.1165, 0.12417, 0.13108, 0.13846, 0.14564, 0.15229, 0.15957, 0.16716, 0.17476, 0.18228, 0.18937, 0.19733, 0.20429, 0.21146, 0.21882, 0.23412, 0.24232, 0.24974]"
cm,"[0.0027, -0.0001, 0.0101, 0.0049, -0.0021, -0.0089, -0.0148, -0.0201, -0.0257, -0.0312, -0.0365, -0.0417, -0.0475, -0.0534, -0.0594, -0.0653, -0.0719, -0.0792, -0.0867, -0.0945, -0.1011, -0.105, -0.1049, -0.1035, -0.1084, -0.1124, -0.1146, -0.1165, -0.1185, -0.1169, -0.1144, -0.1117, -0.1096, -0.1081, -0.1066, -0.1054, -0.1044, -0.1036, -0.1029, -0.1022, -0.1016, -0.1011, -0.1006, -0.1001, -0.0998, -0.0993, -0.0989, -0.0984, -0.0979, -0.0974, -0.0969, -0.0963, -0.0957, -0.0951, -0.0947, -0.0943, -0.0937, -0.093, -0.0926, -0.0918, -0.091, -0.0904, -0.0892, -0.0883, -0.0862, -0.0833, -0.0819, -0.084, -0.0802, -0.0774, -0.0749, -0.0722, -0.0696, -0.0671, -0.0645, -0.0618, -0.059, -0.0561, -0.053, -0.0496, -0.0464, -0.0438, -0.0415, -0.0394, -0.0378, -0.0362, -0.0332, -0.0323, -0.0317, -0.0313, -0.0313, -0.0315, -0.0319, -0.0327, -0.0337, -0.0352, -0.037, -0.0392, -0.0418, -0.0445, -0.0477, -0.0511, -0.0548, -0.059, -0.0637, -0.0688, -0.074, -0.0793, -0.0854, -0.0907, -0.0967, -0.103, -0.1096, -0.1165, -0.131]","[0.0097, 0.0042, -0.003, -0.0096, -0.0152, -0.0205, -0.0261, -0.0316, -0.0369, -0.0421, -0.048, -0.054, -0.0599, -0.0658, -0.0726, -0.0799, -0.0878, -0.0955, -0.1017, -0.1052, -0.1045, -0.1035, -0.1082, -0.1121, -0.114, -0.116, -0.1179, -0.1162, -0.1138, -0.1112, -0.1092, -0.1077, -0.1062, -0.1051, -0.1041, -0.1033, -0.1026, -0.1019, -0.1014, -0.1009, -0.1004, -0.0999, -0.0996, -0.0991, -0.0987, -0.0982, -0.0978, -0.0973, -0.0967, -0.0962, -0.0956, -0.0951, -0.0946, -0.0942, -0.0937, -0.0929, -0.0926, -0.0918, -0.091, -0.0904, -0.0892, -0.0884, -0.0863, -0.0834, -0.082, -0.0842, -0.0804, -0.0776, -0.0751, -0.0724, -0.0673, -0.0647, -0.0621, -0.0593, -0.0564, -0.0533, -0.05, -0.0468, -0.0441, -0.0418, -0.0398, -0.0381, -0.0365, -0.0349, -0.0335, -0.0319, -0.0315, -0.0314, -0.0316, -0.032, -0.0328, -0.0338, -0.0352, -0.0369, -0.0391, -0.0416, -0.0443, -0.0475, -0.0509, -0.0545, -0.0586, -0.0633, -0.0682, -0.0734, -0.0786, -0.0846, -0.0901, -0.096, -0.1023, -0.1157, -0.1232, -0.1301]"
