,time [s],altitude [m],ground_distance [m],mass [kg],true_airspeed [m/s],equivalent_airspeed [m/s],mach [-],engine_setting,CL [-],CD [-],lift [N],drag [N],thrust [N],thrust_rate [-],thrust_is_regulated,sfc [kg/N/s],alpha [rad],slope_angle_derivative [rad/s],name,gamma [rad],CL_wing [-],CL_htp [-]
108,515.8080000000008,2427.2032799012945,25526.20059344705,1750.8949332220902,52.44137484840628,46.51969749970024,0.15850585399899814,2,0.7881204401491744,0.05692881651496583,,1210.8558691861315,2341.8236589244148,0.8420803416270152,True,6.4724567233030685e-06,9.165183658940796,,sizing:main_route:climb,0.06327464987649456,0.7656700932050141,0.02245034694416021
109,520.5840000000007,2443.040476320284,25776.159385957646,1750.8225417075726,52.48324994874577,46.519409127740715,0.15866240850276167,2,0.7881734892189162,0.05693318452755605,,1210.933762168313,2334.3482111267995,0.8414597563315295,True,6.477608292306211e-06,9.1658138366391,,sizing:main_route:climb,0.06284615010413079,0.7657225128060949,0.02245097641282124
110,525.3600000000007,2458.783124676652,26026.32454240964,1750.7503238434306,52.524923272925214,46.519121810165494,0.15881823846595364,2,0.7882258836802424,0.05693749975932171,,1211.0105852347858,2326.927750204134,0.8408394587546931,True,6.482787385580745e-06,9.16643632822785,,sizing:main_route:climb,0.062420839652865774,0.7657742930592608,0.02245159062098157
111,530.1360000000006,2474.4317894223323,26276.695015920526,1750.6782779891416,52.56639552279597,46.51883554685929,0.15897334606517574,2,0.7882776304986484,0.05694176276275546,,1211.0863501835238,2319.5618155791585,0.8402194707958621,True,6.487993664093991e-06,9.167051215324268,,sizing:main_route:climb,0.06199869145848023,0.7658254407536165,0.022452189745031985
112,534.9120000000006,2489.987031639481,26527.26976408765,1750.6064025210562,52.6076674008671,46.518550337665395,0.15912773348406348,2,0.7883287365480741,0.05694597408324895,,1211.1610686584345,2312.249951071545,0.8395998142713507,True,6.493226788315123e-06,9.167658578475097,,sizing:main_route:climb,0.06157967872371875,0.7658759625892246,0.02245277395884953
113,539.6880000000006,2505.449409060593,26778.047748975343,1750.534695832223,52.64873961025524,46.518266182380714,0.15928140291307136,2,0.7883792086119941,0.05695013425917408,,1211.2347521508395,2304.991704919321,0.8389805109333197,True,6.498486402143935e-06,9.168258497169434,,sizing:main_route:climb,0.06116377491525079,0.7659258651781584,0.02245334343383556
114,544.4640000000005,2520.819476088501,27029.027937101997,1750.4631563323894,52.689612854634674,46.51798308075029,0.15943435654925928,2,0.7884290533850953,0.05695424382200815,,1211.307412001877,2297.786629729444,0.8383615824630632,True,6.503772082307769e-06,9.168851049857887,,sizing:main_route:climb,0.06075095376067105,0.7659751550461289,0.02245389833896636
115,549.2400000000006,2536.097783816253,27280.209299427228,1750.3917824485613,52.7302878382075,46.51770103247963,0.15958659659613994,2,0.7884782774749588,0.05695830329646578,,1211.3790594059442,2290.6342823805912,0.8377430504469243,True,6.509083409180038e-06,9.169436313972668,,sizing:main_route:climb,0.06034118924551628,0.7660238386341169,0.022454438840841872
116,554.0160000000004,2551.2848800468696,27531.59081133909,1750.3205726247731,52.77076526565135,46.51742003722627,0.15973812526345862,2,0.7885268874034238,0.056962313200599975,,1211.4497054124386,2283.534224009951,0.8371249365207121,True,6.514419977558143e-06,9.170014365943226,,sizing:main_route:climb,0.05993445561034728,0.7660719222996949,0.02245496510372886
117,558.7920000000004,2566.3813093129893,27783.17145264124,1750.2495253217483,52.811045842082,46.51714009460453,0.1598889447670187,2,0.7885748896077216,0.056966274045887576,,1211.5193609278208,2276.486019964035,0.8365072656693969,True,6.5197813776277415e-06,9.170585281209558,,sizing:main_route:climb,0.05953072734785201,0.7661194123181299,0.02245547728959176
118,563.5680000000002,2581.387612896392,28034.95020754016,1750.1786390167713,52.8511302730142,46.51686120418782,0.16003905732850154,2,0.7886222904419513,0.0569701863373416,,1211.588036718149,2269.4892397227986,0.8358900661733142,True,6.525167194978875e-06,9.171149134239368,,sizing:main_route:climb,0.059129979199988976,0.7661663148838177,0.02245597555813357
119,568.3440000000003,2596.3043288474,28286.926064632484,1750.1079122035583,52.89101926431041,46.51658336550032,0.16018846517525104,2,0.7886690961780894,0.056974050573586635,,1211.655743410254,2262.5434569338063,0.8352733660367991,True,6.530577010982352e-06,9.171705998539935,,sizing:main_route:climb,0.05873218615518123,0.7662126361112571,0.02245646006683241
120,573.1200000000002,2611.131992004181,28539.098016892232,1750.0373433921275,52.930713522150384,46.516306578026246,0.1603371705401207,2,0.7887153130075987,0.05697786724698235,,1211.7224914948645,2255.648249281965,0.8346571927829176,True,6.536010403191921e-06,9.172255946676843,,sizing:main_route:climb,0.058337323445524,0.7662583820366179,0.022456930970980768
121,577.8960000000002,2625.8711340119157,28791.46506165804,1749.9669311086661,52.97021375298849,46.516030841208156,0.16048517566128453,2,0.7887609470424948,0.05698163684370398,,1211.7882913282385,2248.8031984801987,0.8340415734697415,True,6.54146694570318e-06,9.172799050286473,,sizing:main_route:climb,0.057945366544042365,0.7663035586187749,0.02245738842371996
122,582.6720000000001,2640.5222833418647,29044.02620062062,1749.8966738953961,53.00952066351414,46.5157561544474,0.16063248278205766,2,0.7888060043167281,0.056985359843847415,,1211.8531531344404,2242.0078902050022,0.8334265346863637,True,6.546946209512504e-06,9.173335380092077,,sizing:main_route:climb,0.05755629116198115,0.7663481717406498,0.02245783257607825
123,587.4480000000002,2655.085965310315,29296.780439810016,1749.8265703104364,53.048634960608254,46.51548251710084,0.16077909415070527,2,0.7888504907871215,0.056989036721499575,,1211.9170870066732,2235.2619141064965,0.8328121025764909,True,6.5524477628416335e-06,9.173865005914779,,sizing:main_route:climb,0.05717007324613432,0.7663922272101186,0.022458263577003014
124,592.224,2669.562702097412,29549.726789582943,1749.7566189276665,53.08755735130702,46.515209928483436,0.16092501202027362,2,0.788894412334837,0.0569926679448507,,1211.9801029098135,2228.5648637179474,0.8321983028248258,True,6.5579711714771085e-06,9.174387996690633,,sizing:main_route:climb,0.056786688976201184,0.7664357307614377,0.022458681573399315
125,597.0,2683.95301276589,29802.864264610223,1749.6868183365814,53.126288542771775,46.51493838787588,0.16107023864844094,2,0.7889377747662714,0.056996253976262026,,1212.0422106822618,2221.9163364173583,0.8315851606627254,True,6.563515999084258e-06,9.174904420481132,,sizing:main_route:climb,0.056406114762170174,0.7664786880561163,0.022459086710155042
126,601.776,2698.2574132796776,30056.191883864125,1749.6171671421546,53.16482924223495,46.51466789451085,0.16121477629729522,2,0.7889805838144505,0.05699979527237192,,1212.1034200374934,2215.3159334153825,0.8309727008833968,True,6.569081807497975e-06,9.175414344489417,,sizing:main_route:climb,0.05602832724176232,0.7665211046842646,0.022459479130185863
127,606.5519999999998,2712.4764165223983,30309.7086706058,1749.5476639646918,53.2031801569794,46.51439844758801,0.1613586272332138,2,0.7890228451401374,0.05700329228418177,,1212.1637405666795,2208.7632596505387,0.8303609478227653,True,6.574668157033843e-06,9.175917835073367,,sizing:main_route:climb,0.055653303277872,0.7665629861656775,0.022459858974459932
128,611.3279999999999,2726.610532315759,30563.413652372667,1749.4783074396887,53.241341994290345,46.514130046264754,0.16150179372666074,2,0.7890645643325195,0.057006745457104574,,1212.2231817392458,2202.2579238485714,0.8297499254413438,True,6.580274615383135e-06,9.176414957753401,,sizing:main_route:climb,0.055281019956069696,0.7666043379504927,0.02246022638202687
