TAPER_RATIO,ASPECT_RATIO,SPAN_RATIO,CORRELATION_CONSTANT
0.5,3,0.401652892561983,-0.339385474860335
0.5,3,0.490909090909091,-0.339385474860335
0.5,3,0.553719008264463,-0.341061452513966
0.5,3,0.636363636363636,-0.343575418994413
0.5,3,0.702479338842975,-0.348603351955307
0.5,3,0.791735537190082,-0.355307262569832
0.5,3,0.89090909090909,-0.36536312849162
0.5,4,0.0016528925619843,-0.248882681564245
0.5,4,0.074380165289257,-0.248882681564245
0.5,4,0.147107438016529,-0.249720670391061
0.5,4,0.209917355371901,-0.249720670391061
0.5,4,0.27603305785124,-0.249720670391061
0.5,4,0.36198347107438,-0.252234636871508
0.5,4,0.431404958677686,-0.253072625698324
0.5,4,0.51404958677686,-0.25558659217877
0.5,4,0.590082644628099,-0.258100558659217
0.5,4,0.659504132231405,-0.26145251396648
0.5,4,0.735537190082645,-0.267318435754189
0.5,4,0.808264462809917,-0.273184357541899
0.5,4,0.877685950413223,-0.279888268156424
0.5,6,0.0115702479338848,-0.170111731843575
0.5,6,0.0809917355371907,-0.169273743016759
0.5,6,0.133884297520661,-0.168435754189944
0.5,6,0.193388429752066,-0.168435754189944
0.5,6,0.246280991735537,-0.168435754189944
0.5,6,0.325619834710744,-0.169273743016759
0.5,6,0.378512396694215,-0.172625698324022
0.5,6,0.428099173553719,-0.172625698324022
0.5,6,0.497520661157024,-0.1768156424581
0.5,6,0.573553719008264,-0.180167597765363
0.5,6,0.613223140495867,-0.18268156424581
0.5,6,0.676033057851239,-0.188547486033519
0.5,6,0.735537190082645,-0.195251396648044
0.5,6,0.795041322314049,-0.200279329608938
0.5,6,0.84793388429752,-0.212849162011173
0.5,6,0.887603305785123,-0.221229050279329
0.5,8,0.00495867768595115,-0.128212290502793
0.5,8,0.0809917355371907,-0.13072625698324
0.5,8,0.137190082644628,-0.129888268156424
0.5,8,0.203305785123967,-0.129888268156424
0.5,8,0.27603305785124,-0.129888268156424
0.5,8,0.355371900826446,-0.129888268156424
0.5,8,0.424793388429752,-0.133240223463687
0.5,8,0.48099173553719,-0.133240223463687
0.5,8,0.533884297520661,-0.135754189944134
0.5,8,0.606611570247934,-0.136592178770949
0.5,8,0.656198347107438,-0.142458100558659
0.5,8,0.722314049586777,-0.146648044692737
0.5,8,0.76198347107438,-0.153351955307262
0.5,8,0.824793388429752,-0.164245810055865
0.5,8,0.871074380165289,-0.174301675977653
0.25,3,0.00983606557377125,-0.285
0.25,3,0.0655737704918038,-0.2825
0.25,3,0.140983606557377,-0.279166666666666
0.25,3,0.2,-0.277499999999999
0.25,3,0.252459016393443,-0.275
0.25,3,0.314754098360656,-0.273333333333333
0.25,3,0.386885245901639,-0.274166666666666
0.25,3,0.452459016393443,-0.276666666666666
0.25,3,0.514754098360656,-0.278333333333333
0.25,3,0.580327868852458,-0.28
0.25,3,0.639344262295082,-0.283333333333333
0.25,3,0.698360655737705,-0.289166666666666
0.25,3,0.754098360655737,-0.295833333333333
0.25,3,0.80327868852459,-0.301666666666666
0.25,3,0.849180327868851,-0.308333333333333
0.25,3,0.891803278688524,-0.314166666666666
0.25,4,0.0131147540983618,-0.233333333333333
0.25,4,0.0655737704918038,-0.23
0.25,4,0.121311475409836,-0.228333333333333
0.25,4,0.180327868852459,-0.223333333333333
0.25,4,0.232786885245902,-0.221666666666666
0.25,4,0.314754098360656,-0.22
0.25,4,0.380327868852459,-0.216666666666666
0.25,4,0.442622950819672,-0.2175
0.25,4,0.511475409836065,-0.216666666666666
0.25,4,0.583606557377049,-0.22
0.25,4,0.645901639344262,-0.221666666666666
0.25,4,0.731147540983606,-0.224166666666666
0.25,4,0.799999999999999,-0.225833333333333
0.25,4,0.875409836065573,-0.229166666666666
0.25,6,0.0196721311475416,-0.159166666666666
0.25,6,0.0721311475409844,-0.155833333333333
0.25,6,0.134426229508197,-0.155833333333333
0.25,6,0.19672131147541,-0.151666666666666
0.25,6,0.252459016393443,-0.149166666666666
0.25,6,0.314754098360656,-0.1475
0.25,6,0.377049180327869,-0.145
0.25,6,0.436065573770491,-0.145
0.25,6,0.498360655737704,-0.1425
0.25,6,0.547540983606557,-0.144166666666666
0.25,6,0.61639344262295,-0.146666666666666
0.25,6,0.675409836065574,-0.149166666666666
0.25,6,0.727868852459016,-0.154166666666666
0.25,6,0.786885245901638,-0.159166666666666
0.25,6,0.822950819672131,-0.165833333333333
0.25,6,0.888524590163934,-0.174166666666666
0.25,8,0.0196721311475416,-0.12
0.25,8,0.0688524590163939,-0.1175
0.25,8,0.104918032786885,-0.1175
0.25,8,0.154098360655738,-0.116666666666666
0.25,8,0.20655737704918,-0.114999999999999
0.25,8,0.249180327868852,-0.114166666666666
0.25,8,0.301639344262295,-0.111666666666666
0.25,8,0.357377049180328,-0.11
0.25,8,0.40327868852459,-0.108333333333333
0.25,8,0.452459016393443,-0.106666666666666
0.25,8,0.511475409836065,-0.105833333333333
0.25,8,0.567213114754098,-0.105833333333333
0.25,8,0.613114754098361,-0.105833333333333
0.25,8,0.659016393442622,-0.1075
0.25,8,0.718032786885245,-0.114166666666666
0.25,8,0.763934426229507,-0.119166666666666
0.25,8,0.80983606557377,-0.1275
0.25,8,0.852459016393441,-0.134166666666666
0.25,8,0.891803278688524,-0.14
