X_0,Y_0,X_04,Y_04,X_10,Y_10,X_15,Y_15
0.05255778316945474,1.7673221810752135,0.05254756736049038,1.7886987613331637,0.05146213765802583,1.8099604137402636,0.05014570297535436,1.820648703869237
0.06642829779083128,1.9932703358447208,0.07067807432001023,2.1006129485378633,0.07602349636061809,2.165317328565956,0.07066785851104587,2.121989528795812
0.07816370833865409,2.186923764525604,0.08884433661090541,2.33770910483974,0.0995300727876389,2.477806155024901,0.0877486910994765,2.380347337504789
0.09312986847145963,2.3702336866300606,0.10273528285021072,2.5209040990933476,0.11770144298301621,2.704214021197804,0.10590984548588944,2.6281317839356406
0.1091712424977653,2.5536585365853663,0.1262622908951603,2.790639765036394,0.14122334312348361,2.9846379772698257,0.1347669518580003,2.9946367002937047
0.12628272251308903,2.747886604520496,0.14551398288852002,3.0064742689311714,0.15297407738475293,3.1462265355637853,0.15721874600944965,3.264257438385903
0.13912910228578725,2.866836930149407,0.1530098327161282,3.071408504660963,0.17009066530455879,3.32976631336994,0.1807559698633636,3.512616524071
0.15197037415400334,2.9964755459072916,0.17656238028348878,3.2877027199591375,0.18935768101136514,3.5135359468777936,0.20964883156684975,3.8043034095262422
0.16695185800025547,3.147720597624825,0.20011492785084926,3.5039969352573115,0.2054092708466352,3.6755842165751504,0.2428323330353723,4.11782658664283
0.18087345166645388,3.2667858511045846,0.2311735410547823,3.763848806027328,0.2236163963733879,3.8271740518452306,0.2792414761843954,4.431694547311966
0.19586515132167033,3.3966543225641685,0.25902694419614356,3.980602732728898,0.25145447580130256,4.0759928489337245,0.31887626101391913,4.745907291533649
0.21193206487038694,3.526637721874601,0.28902566722002305,4.208274805261142,0.2760924530711276,4.271025411824799,0.3424492401992084,4.919448346315924
0.231219512195122,3.667654194866557,0.31153364832077637,4.3603243519346195,0.30287064231898873,4.487664410675521,0.36709232537351557,5.103792619078024
0.254787383475929,3.8518835397778064,0.3340467373260121,4.5016856084791215,0.3275239433022602,4.650632103179671,0.39817647809985957,5.310203039203167
0.2740799387051462,3.982211722640787,0.3608555740007662,4.654194866555995,0.35324224237006776,4.83509130379262,0.4399821223343124,5.5818924786106505
0.29122717405184524,4.101621759673094,0.38659430468650244,4.795900906653046,0.38111607712935776,5.0090920699782915,0.4753569148256928,5.81013919039714
0.3083795173030266,4.210343506576427,0.4101928233942026,4.9160005107904485,0.410065125782148,5.1832077640148135,0.5010854297024646,5.973221810752139
0.33625845996679864,4.373655982633125,0.42950070233686635,5.014263823266505,0.4390141744349381,5.357323458051335,,
0.3716536840761078,4.5591495339037165,0.4745524198697485,5.243544885710637,0.4668931170987103,5.520635934108032,,
0.3909615630187716,4.657412846379772,0.501371472353467,5.374677563529563,0.4861958881368919,5.629587536713064,,
0.41563529561997195,4.777627378368025,,,0.5012131273145192,5.706014557527775,,
0.44889541565572735,4.930826203549994,,,,,,
0.47894010981994635,5.062303664921466,,,,,,
0.5014736304431107,5.1609117609500705,,,,,,
