TAPER_RATIO,ASPECT_RATIO,SWEEP_50,SWEEP_CONTRIBUTION
0,1,-19.812219296887093,0.0015909090909090803
0,1,-12.28889190026328,0.0009431818181818152
0,1,-6.818568994889262,0.0005000000000000074
0,1,6.8507046616075655,-0.00045454545454545747
0,1,12.316671829022752,-0.0007954545454545436
0,1,17.78263899643798,-0.0011363636363636506
0,1,24.272204584172215,-0.0015113636363636648
0,1,28.716025243921322,-0.001852272727272758
0,1,36.57716431779464,-0.0024318181818182086
0,1,42.73037014093232,-0.0029090909090909375
0,1,50.59586495276443,-0.00359090909090911
0,1,54.69897010995818,-0.00393181818181821
0,1,60.001839089360374,-0.004443181818181839
0,1.5,-19.122076815858748,0.00138636363636363
0,1.5,-15.704758401734551,0.0011477272727272517
0,1.5,-7.843619327861234,0.000568181818181808
0,1.5,-0.668266997057458,0.000090909090909079
0,1.5,7.191420164162935,-0.00045454545454545747
0,1.5,16.761944401424813,-0.0011704545454545856
0,1.5,23.252961901811986,-0.0015795454545454862
0,1.5,31.114100975685304,-0.002159090909090944
0,1.5,38.97524004955861,-0.0027386363636364083
0,1.5,46.157851943627065,-0.0033863636363636734
0,1.5,54.72074879975219,-0.004443181818181853
0,1.5,59.86777915440608,-0.005295454545454555
0,2,-19.122076815858748,0.00138636363636363
0,2,-15.021875483970874,0.0011136363636363375
0,2,-6.818568994889262,0.0004999999999999935
0,2,2.406884001858444,-0.00011363636363638518
0,2,13.002458572092294,-0.000897727272727307
0,2,19.497831810438285,-0.0014090909090909293
0,2,29.409071550255547,-0.0021250000000000158
0,2,41.71838702183675,-0.003147727272727302
0,2,49.93766455010065,-0.004136363636363667
0,2,55.081791079448664,-0.004920454545454575
0,2,59.725007743534135,-0.005943181818181847
0,3,-18.784265138609257,0.0014545454545454445
0,3,-14.168634814929533,0.0010795454545454303
0,3,-8.184334830416603,0.0005681818181818149
0,3,0.018971658665016378,-0.00004545454545453603
0,3,9.241520830106865,-0.0005909090909091003
0,3,16.419776986216505,-0.0011363636363636506
0,3,25.652489546228892,-0.0019204545454545863
0,3,32.83219761499147,-0.00250000000000003
0,3,41.7329061483661,-0.0034886363636363674
0,3,45.15603221310205,-0.0038636363636363816
0,3,51.32956481338083,-0.004818181818181846
0,3,56.13878349078519,-0.005738636363636411
0,3,59.93456713644106,-0.00686363636363637
0,8,-19.799152083010682,0.0012840909090908875
0,8,-13.30668266997057,0.0008409090909090797
0,8,-6.814213256930458,0.0003977272727272718
0,8,-1.6904135047235584,0.00009090909090908594
0,8,5.487842651386103,-0.00045454545454545053
0,8,13.006814310051112,-0.0010000000000000217
0,8,22.238074957410547,-0.0017500000000000362
0,8,33.52379200867274,-0.0027386363636363875
0,8,45.51126684218676,-0.004204545454545461
0,8,52.37349001084095,-0.005329545454545483
0,8,56.3309199318569,-0.006250000000000033
0,8,59.60982267306798,-0.0072386363636363915
0.5,1,-19.79300080957529,0.001147938976444756
0.5,1,-12.60717177054601,0.000712106301598351
0.5,1,-3.367833198404135,0.00014201017059264215
0.5,1,6.209878757617027,-0.0003595580785431922
0.5,1,17.8454632273452,-0.0010976580489718106
0.5,1,29.47959337020857,-0.001801668597689269
0.5,1,39.75295834323081,-0.0026093435653304145
0.5,1,49.68358695177931,-0.003383278149707958
0.5,1,56.53831424125338,-0.0040580858149800204
0.5,1,59.965677885990424,-0.00439548964761605
0.5,2,-19.62381411763566,0.0011822029173796898
0.5,2,-12.60717177054601,0.000712106301598351
0.5,2,-5.0786063670430295,0.0002425332434883437
0.5,2,4.157823551369226,-0.00025938404409504845
0.5,2,12.711689394563699,-0.0007619994085735493
0.5,2,19.90188141418742,-0.0013001003485534311
0.5,2,26.40805503172853,-0.001804809943717258
0.5,2,36.001764583262606,-0.002681361831675829
0.5,2,44.23034598436109,-0.0035593098734246174
0.5,2,50.40832650607661,-0.004371173302436419
0.5,2,59.87793349848017,-0.00633876120437581
0.5,4,-19.457536079425644,0.0012846457017369403
0.5,4,-15.349062686335635,0.000982029367707176
0.5,4,-10.216743180418945,0.0006804601490200748
0.5,4,-2.0027050479685613,0.00014340632438286302
0.5,4,9.29305171101553,-0.0006291321062044664
0.5,4,16.82598009511296,-0.001200973429447947
0.5,4,27.446444413203317,-0.002144657045486168
0.5,4,35.67502581430181,-0.0030226050872349565
0.5,4,45.62601499895769,-0.004273791575568706
0.5,4,52.16127515379501,-0.005460289604955686
0.5,4,56.98576213999345,-0.006546264561446965
0.5,4,59.925926285018896,-0.007463712120844009
0.5,6,-20.151734769561905,0.0015566629985310915
0.5,6,-14.32957955410339,0.0010853447481833124
0.5,6,-5.765533422855242,0.0003441034317267083
0.5,6,5.187486971655154,-0.0003946946155970188
0.5,6,15.459397617812563,-0.0011682801615270043
0.5,6,25.74003422515886,-0.00214640223772394
0.5,6,32.25347947702402,-0.002821558941443557
0.5,6,41.51899593273249,-0.004005264663250099
0.5,6,49.42374721859981,-0.005292634803980335
0.5,6,54.24823420479826,-0.006378609760471613
0.5,6,59.78291747664587,-0.008111585652579783
0.5,8,-19.817724366277062,0.0017274591455344324
0.5,8,-14.67667889917152,0.001221353396580388
0.5,8,-6.11263276792338,0.0004801120801237839
0.5,8,4.509285877031793,-0.0004976609576255973
0.5,8,14.781196523189216,-0.0012712465035555863
0.5,8,22.317033561016252,-0.0019112666702213836
0.5,8,29.173215177355125,-0.002620163757204603
0.5,8,36.033759774288434,-0.0034313291093212954
0.5,8,43.248675350613915,-0.00454895021839085
0.5,8,50.12812619678976,-0.005803278052752589
0.5,8,56.1703695444563,-0.0074334621220559505
0.5,8,59.81054968707725,-0.008759284665091772
1,1,-19.960551115526734,0.0010427070701166715
1,1,-13.108133775550407,0.0006961413146705673
1,1,-5.569013631781132,0.00028072995046974063
1,1,5.3919319725903705,-0.00020539719182379856
1,1,14.98531624855724,-0.0006905892494483441
1,1,25.26832546790766,-0.00131300498224784
1,1,36.92474029484393,-0.002073111932556781
1,1,45.150563242406136,-0.002557368905512329
1,1,52.011747001154276,-0.0031090688602191125
1,1,59.905907105182436,-0.0038324152944782044
1,2,-19.962012185322045,0.0010768961033267854
1,2,-9.681925105562236,0.0005228584369475165
1,2,-1.4575632277953403,0.00007279049720207865
1,2,7.452040383969191,-0.0004119340180879696
1,2,13.625060269129108,-0.0008605993308299156
1,2,20.48186081849134,-0.001309732185906358
1,2,27.343044577239496,-0.0018614321406131406
1,2,36.953961690750006,-0.002756892596759042
1,2,42.44904519088881,-0.003341846500006943
1,2,48.98002717589823,-0.00416682494922738
1,2,54.141986762707674,-0.0049566792805687074
1,2,59.48804114372547,-0.00605435179638468
1,4,-19.634732551173904,0.0014185526642606673
1,4,-12.433119530119889,0.000900807971596751
1,4,-3.516210569378842,0.0002451382902561366
1,4,8.825445991555071,-0.0005496252355974155
1,4,13.629443478515014,-0.0009631664304602548
1,4,21.866954984439644,-0.0017209356690967093
1,4,30.79263036395254,-0.0025817395496980002
1,4,40.41085282643955,-0.003648145171894466
1,4,46.60286661893842,-0.004541267916367881
1,4,52.803646830209104,-0.005639524860101974
1,4,56.95600718846342,-0.0068047572432528
1,4,59.89421854682,-0.007558903028796899
1,6,-19.986850371842202,0.0016581096678987065
1,6,-13.122744473503445,0.0010380316467716979
1,6,-5.232967578861185,0.00041725231214294507
1,6,5.400698391362198,-0.00041053139108447687
1,6,13.636748827491544,-0.0011341115965108192
1,6,23.5895562731032,-0.002029805823823969
1,6,31.835834197799656,-0.002992709261721101
1,6,41.11508846777613,-0.004127259179170546
1,6,46.97105620735505,-0.005156904285317161
1,6,52.152009701503445,-0.006391216048389962
1,6,56.30729219934838,-0.007624826497961014
1,6,59.43544263109449,-0.008823546600820206
1,8,-19.82321055476814,0.0018289379483656452
1,8,-13.130049822479968,0.0012089768128222622
1,8,-5.580702190143562,0.0005542422161506459
1,8,6.430752597051608,-0.0005137998042165611
1,8,18.443668454042097,-0.0016160308577938794
1,8,32.186490948672656,-0.0031980772321490263
1,8,42.507487982700965,-0.0047094078284114615
1,8,48.02448752976932,-0.005807197229811056
1,8,53.90821559545901,-0.007486433966949821
1,8,59.48219686454422,-0.009917595663543824




