TAPER_RATIO,CORRECTED_AR,CORRECTED_SWEEP,ROLL_DAMPING_PARAMETER
0,1.5,-19.915758193664523,-0.13015230530798905
0,1.5,-16.4739222921827,-0.13059082547382672
0,1.5,-14.101101147746405,-0.130701880255907
0,1.5,-11.728420602713491,-0.13066558686324875
0,1.5,-9.471512233003025,-0.13102200150965637
0,1.5,-6.983059512647657,-0.1305930000779323
0,1.5,-4.610378967614736,-0.13055670668527403
0,1.5,-2.237698422581822,-0.13052041329261577
0,1.5,0.11741495851286032,-0.1309116525819788
0,1.5,2.507662667484013,-0.1304478265072993
0,1.5,4.880958725460609,-0.1310565906796075
0,1.5,7.254148552776861,-0.13155402511989112
0,1.5,9.626126100792902,-0.13078099085354017
0,1.5,11.999415909907114,-0.13138320621808225
0,1.5,14.372096454940035,-0.13134691282542404
0,1.5,16.744776999972956,-0.13131061943276578
0,1.5,19.266877961532998,-0.13136727541870752
0,1.5,21.490138090038784,-0.13123803264744927
0,1.5,23.862818635071704,-0.13120173925479106
0,1.5,26.235499180104625,-0.1311654458621328
0,1.5,28.608179725137532,-0.13112915246947454
0,1.5,30.909866498411574,-0.13204306823070333
0,1.5,33.353540815203374,-0.13105656568415802
0,1.5,35.726221360236295,-0.13102027229149982
0,1.5,38.0989019052692,-0.13098397889884156
0,1.5,40.43585148625371,-0.1311774761620531
0,1.5,41.722196334078106,-0.13047176964836482
0,1.5,43.70602485851012,-0.1298176412347788
0,1.5,46.07795554005837,-0.1289954909101816
0,1.5,48.45026115334895,-0.128566269051554
0,1.5,50.7061830268304,-0.12788883564995485
0,1.5,53.19351325236413,-0.12628345964515925
0,1.5,55.52180281643369,-0.12493642737719446
0,1.5,57.93610922083023,-0.12331302542331801
0,1.5,60.28822163536476,-0.12055925175764881
0,1.5,62.676783664116854,-0.11832883281338336
0,1.5,65.04608982346873,-0.11475618322700004
0,1.5,67.414319616277,-0.11005550150289589
0,1.5,69.8938008071566,-0.10427044397899343
0,3,-18.742425225740906,-0.20212941471339885
0,3,-19.946448476924587,-0.20074118202945024
0,3,-16.61861112963453,-0.2050119696958741
0,3,-14.244019102236656,-0.2069789098216851
0,3,-11.869313256274154,-0.20906513180323688
0,3,-9.578102872439295,-0.21059235788715297
0,3,-4.746919734880414,-0.2135170284624076
0,3,-2.3729269287493224,-0.2148559847006425
0,3,0.0006948511784230504,-0.21580610547776174
0,3,2.374636885302742,-0.2170918526528965
0,3,4.650368562366182,-0.21820543920620156
0,3,6.6417063298327434,-0.2181141677272624
0,3,8.847739683820052,-0.21925220935224382
0,3,11.220935759998682,-0.2197561926002936
0,3,13.59436616851628,-0.2205057561395743
0,3,15.967046713549195,-0.22046946274691603
0,3,18.340008457388862,-0.22072786570373482
0,3,20.658966556222467,-0.22090421016209633
0,3,23.085182081583525,-0.2204588146854336
0,3,25.457768893680864,-0.22032428917628305
0,3,27.829933907568076,-0.2197477191429168
0,3,30.20235668702813,-0.21944128742990449
0,3,32.5735140718578,-0.21780872214424535
0,3,34.944835489324745,-0.21634806306244786
0,3,39.68668159430618,-0.21259177190866774
0,3,42.05720628182064,-0.2102961398366851
0,3,44.42749663699617,-0.20775492747347157
0,3,46.88741911182419,-0.2049585740595976
0,3,49.36741770850823,-0.2005964917636871
0,3,51.42765035901053,-0.19712703731883097
0,3,53.74958322319712,-0.19234754137170945
0,3,56.18833939345946,-0.18703486172335382
0,3,58.63732017894242,-0.18001697191020333
0,3,61.00356885920499,-0.17324008423823578
0,3,63.25117380416191,-0.16645483719526433
0,3,65.60430736091884,-0.1572360523829638
0,3,68.01861663896986,-0.14847708162303053
0,3,70.06733971515226,-0.13948196244245592
0,4.5,-19.94886801411775,-0.2554532134730116
0,4.5,-16.349913618404656,-0.2605519155932237
0,4.5,-13.974467951771999,-0.2634134696370902
0,4.5,-11.59920975101052,-0.26607855944797193
0,4.5,-9.295535727915265,-0.2690751130218347
0,4.5,-6.849115147697674,-0.27096669454551986
0,4.5,-4.474419344549695,-0.2730423916574474
0,4.5,-2.099957873740678,-0.27487250847814404
0,4.5,0.2246292290729599,-0.2766008366869639
0,4.5,2.6476059403113865,-0.27710837643039815
0,4.5,5.021415520870789,-0.2782553122694895
0,4.5,7.394326157943198,-0.27846015533422086
0,4.5,9.767241035315081,-0.27866944223279355
0,4.5,12.14015591268695,-0.2788787291313662
0,4.5,14.512414659509744,-0.27840039121449234
0,4.5,16.8849077386715,-0.2781676335888494
0,4.5,19.256979019623103,-0.27749283143899073
0,4.5,21.628581635896808,-0.27632686870667034
0,4.5,24.000137385702715,-0.27511178991610374
0,4.5,26.371365070234077,-0.27355289871781385
0,4.5,28.74254588829764,-0.27194489146127776
0,4.5,31.041795493659663,-0.2703046552507093
0,4.5,33.48382959566557,-0.26759920760854344
0,4.5,35.853838752034335,-0.26476329889585287
0,4.5,38.223472976660744,-0.2615344617171928
0,4.5,40.59268540307704,-0.2578635800143171
0,4.5,42.96088015762129,-0.2531261781895244
0,4.5,45.23962942148299,-0.2488395045759082
0,4.5,47.69613215058435,-0.24245925764050658
0,4.5,50.06316729481122,-0.23650658420310822
0,4.5,51.64080991564718,-0.2321390477810929
0,4.5,53.3845303371407,-0.22600045521474565
0,4.5,56.03584698583295,-0.21656807062833228
0,4.5,58.14311595415798,-0.2083906385257186
0,4.5,60.999738831685264,-0.19582092667656853
0,4.5,63.60234641211299,-0.18409840922710602
0,4.5,66.11339498447215,-0.17257216133049202
0,4.5,69.10096224789628,-0.1561608608795378
0,4.5,70.2702588341283,-0.1504192513523656
