STATIC_MARGIN,SWEEP_25,ASPECT_RATIO,DRAG_EFFECT
0.4,60,1.0119031372727418,-1.1946067415730344
0.4,60,1.0646711853098614,-1.1676404494382036
0.4,60,1.1700859755265434,-1.111011235955056
0.4,60,1.3292392606407972,-1.0489887640449451
0.4,60,1.4891203809003946,-1.0031460674157326
0.4,60,1.622981394714098,-0.978876404494387
0.4,60,1.8109448209980439,-0.9573033707865175
0.4,60,2.0668698539780754,-0.946516853932585
0.4,60,2.2965321687971008,-0.9519101123595508
0.4,60,2.6748851385161263,-0.9626966292134842
0.4,60,2.945033283294668,-0.9680898876404518
0.4,60,3.5665438444858903,-0.984269662921351
0.4,60,3.9445328966322464,-0.9869662921348343
0.4,60,4.727622860088857,-0.9950561797752835
0.4,60,5.348648197849856,-1.000449438202251
0.4,60,5.9966640889171945,-1.0058426966292169
0.4,60,6.779875358231363,-1.0166292134831503
0.4,60,7.320050341930894,-1.0247191011236012
0.4,60,7.981440203793843,-1.0274157303370846
