STATIC_MARGIN,SWEEP_25,ASPECT_RATIO,DRAG_EFFECT
0,0,1.0332871847348457,-0.5853006681514474
0,0,1.1529224101607154,-0.5265033407572381
0,0,1.3136399205441505,-0.483741648106904
0,0,1.5957984710768667,-0.43563474387527823
0,0,2.013092156744717,-0.38752783964365245
0,0,2.6064226810329254,-0.3501113585746102
0,0,3.2815566122915776,-0.3340757238307349
0,0,3.9566905435502306,-0.31804008908685955
0,0,4.442906157828206,-0.3100222717149219
0,0,4.902275326551495,-0.30734966592427604
0,0,5.658941792572081,-0.30467706013363016
0,0,6.2534460964305065,-0.3020044543429843
0,0,6.955968217660866,-0.2966592427616924
0,0,7.496508758201406,-0.2966592427616924
0,0,7.955968217660866,-0.2966592427616924
0,40,1.0197736712213317,-0.5853006681514474
0,40,1.2615722626858465,-0.5425389755011134
0,40,1.5037320170950457,-0.5104677060133629
0,40,1.9348100884849204,-0.47037861915367474
0,40,2.4478721483175816,-0.45701559020044524
0,40,2.8801239992776733,-0.4516703786191536
0,40,3.717961837115512,-0.4516703786191537
0,40,4.420754830554385,-0.4543429844097996
0,40,5.28561969541925,-0.4543429844097996
0,40,6.285709986155419,-0.45701559020044524
0,40,7.231655932101376,-0.4570155902004456
0,40,7.961475952567268,-0.45968819599109134
0,50,1.0368988141816669,-0.6922048997772825
0,50,1.2927526635767173,-0.6654788418708237
0,50,1.5623006079576225,-0.6440979955456569
0,50,1.926714019141638,-0.6307349665924269
0,50,2.3724793836152402,-0.6253897550111358
0,50,2.8860831878649247,-0.6280623608017819
0,50,3.534912417985913,-0.6334075723830733
0,50,4.183561066634562,-0.6334075723830733
0,50,4.913471377836633,-0.638752783964365
0,50,5.481129236140372,-0.6414253897550108
0,50,6.0487870944441084,-0.6440979955456566
0,50,6.859597905254919,-0.6440979955456569
0,50,7.981400108348879,-0.6494432071269486
0,60,1.0068319990368986,-1.0022271714922049
0,60,1.3848492144705897,-0.9915367483296214
0,60,1.7629567206404584,-0.983518930957684
0,60,2.1416962619635225,-0.9942093541202668
0,60,2.520164931078072,-0.9968819599109131
0,60,3.0340396075362666,-1.0075723830734966
0,60,3.76440137241919,-1.0262806236080182
0,60,4.927105278998374,-1.0423162583518932
0,60,5.873502678625172,-1.0556792873051222
0,60,7.035845422259676,-1.0610244988864144
0,60,7.981701077469445,-1.0583518930957683
0.2,0,1.0221019642141318,-0.7906636055537319
0.2,0,1.0596066712826309,-0.7232681024743983
0.2,0,1.217399754625073,-0.6262745526766502
0.2,0,1.3100530835853883,-0.5831784555956405
0.2,0,1.4833035725131518,-0.5293393097919159
0.2,0,1.6707967396717835,-0.49168762071352967
0.2,0,2.2755183848985094,-0.4165081447469112
0.2,0,2.652691228453774,-0.3897452716737724
