SWEEP_25,ASPECT_RATIO,CDI_ROLL_DAMPING_PARAMETER
0,1.007198275442473,-0.041277598298107065
0,1.4564373650595108,-0.029639484635563096
0,1.93819479440989,-0.02244925621522864
0,2.484889808250423,-0.018384743279842797
0,3.0339351659243308,-0.014542132803247676
0,3.584950874797485,-0.013787413674797577
0,4.128872244456238,-0.012693623575062152
0,4.684718074993562,-0.011406489392533303
0,5.223841129670303,-0.010605221281896171
0,5.784501425141542,-0.008903758584131005
0,6.334343396924632,-0.008027266445064296
0,6.884187443499625,-0.007135125764401229
0,7.474203001347247,-0.007008054579841494
0,7.958967371436287,-0.006450074826120256
0,8.533334955937454,-0.007359648194861013
0,9.079513939683022,-0.0071871489090676866
0,9.63281678868454,-0.007131028627856417
0,9.991499828261034,-0.006821101757056136
40,1.0403140264706572,-0.09961888046110684
40,1.3903521964554182,-0.08004089842842793
40,1.6801396003146971,-0.066194773115758
40,2.106038669445123,-0.05157247101266721
40,2.6650354698923486,-0.04173741285846838
40,3.2061029021455436,-0.03524557595668859
40,3.765884060595859,-0.031200401060128224
40,4.316036941372266,-0.02797896420257584
40,4.872046054771376,-0.0254603143913828
40,5.416149001331323,-0.022997030952405906
40,5.966180818611631,-0.02068868188543782
40,6.526542060752124,-0.019447874069571935
40,7.063720505508332,-0.01715943996129954
40,7.615912223959739,-0.016509354232583096
40,8.165761100845943,-0.01558078227138654
40,8.694963475394237,-0.01450227371018975
40,9.265436822692534,-0.01388980802940143
40,9.9913604531978,-0.013598795182608758
50,1.0034125394585462,-0.16526338492687226
50,1.1980842839005295,-0.14640753735946116
50,1.3838353484603632,-0.1291924141955746
50,1.5557811593959983,-0.11567223127213755
50,1.8899909115962235,-0.09584271219891849
50,2.2277613572559805,-0.08206363469467876
50,2.7400727036431487,-0.06809761327678987
50,3.2542336516017913,-0.058130203732988384
50,3.824090655802509,-0.04988563290495712
50,4.366102689041179,-0.04524376443373085
50,4.92127573059904,-0.040056595268607054
50,5.466670143403746,-0.036827145393524996
50,6.016870349001357,-0.03324877421783523
50,6.566883089609554,-0.03108430565120157
50,7.116914906889862,-0.028775956584233542
50,7.666866993463648,-0.027068954223791408
50,8.207284550144028,-0.025478623308967052
50,8.777392287239508,-0.024317328244568504
50,9.316602311975265,-0.022860112622150264
50,10.012776159557843,-0.022447149139726896
60,0.9946257060732862,-0.31555272896522985
60,1.0626738239459907,-0.2974041722508054
60,1.1599160003581819,-0.27829830769374253
60,1.2576132328482883,-0.2606748389879959
60,1.3119689859065318,-0.24864066444934452
60,1.4489120219263674,-0.23067737373965974
60,1.555440500169472,-0.21695950757859117
60,1.6919614914709653,-0.199253665150468
60,1.9005881558127786,-0.18044585590440615
60,2.0461442768385787,-0.16852668122059133
60,2.313004418189869,-0.15008169716901537
60,2.692404960916301,-0.13146447560054508
60,3.0476183736853324,-0.11775059556718143
60,3.3968426842146417,-0.10676867079051544
60,3.8359004446853806,-0.09542896536819145
60,4.286571207379861,-0.08568616338427254
60,4.806770513112914,-0.0780393655118421
60,5.302332111237494,-0.07090299289283353
60,5.83772187147958,-0.0651956332290976
60,6.379809049686285,-0.059987004710079284
60,6.933760022508515,-0.055042590545549
60,7.480397292730002,-0.05141359281694491
60,8.030568761033084,-0.04805196470265655
60,8.580644479116522,-0.04541250602273911
60,9.12478685079884,-0.042651869549737764
60,9.680698086195644,-0.04087143738256849
60,10.000212073896442,-0.039743887752730855
