AR_SWEPT,M_SWEPT,SWEEP_COMPRESSIBILITY_CORRECTION
2,0.8047359622237539,0.9990937220454315
2,0.8461527181006293,1.0004575383848309
2,0.8861011717088766,0.9973647548796762
2,0.9157018521505772,0.9913287677259461
2,0.9453025325922776,0.9852927805722165
3,0.8075955771289466,1.0392339164992448
3,0.8357022920913316,1.0391503277558622
3,0.8697262102036926,1.039049141382294
3,0.9052330952765028,1.037456555850479
3,0.946668182018155,1.0313853734363774
4,0.40674172544763976,1.0255561584373305
4,0.4658954260826209,1.0328151808889736
4,0.541306770688214,1.045973808860407
4,0.5930603012127699,1.0547418281004826
4,0.6270695546333093,1.0605886407297151
4,0.6684643134724525,1.0708744555733163
4,0.7157836078074818,1.078168673285331
4,0.7601406343945684,1.086958689563139
4,0.8015390594066666,1.09575750465604
4,0.8399862151896879,1.101591119062633
4,0.8887958088310773,1.1044199381150006
4,0.9494398087724186,1.1072135619069967
5,0.8043216846797966,1.1671246938745583
5,0.8338783710460324,1.1789327037292312
5,0.8708168966579167,1.196666715548973
5,0.9062981185200393,1.2054831282720597
5,0.9477112082239593,1.2083339443621595
6,0.4022524966637826,1.0463873531697734
6,0.4377263861799945,1.0581777653942603
6,0.4761588772711941,1.0699593788036545
6,0.526411109970524,1.0876537959554782
6,0.5751693771905385,1.1113006115176491
6,0.6061980319983574,1.126078221466176
6,0.6519903652974733,1.1527078353448403
6,0.697782698596589,1.1793374492235047
6,0.7539081403704301,1.2148582657535454
6,0.7834354973530232,1.2385622736138202
6,0.821831326714669,1.2652138845302168
6,0.8528379844847561,1.288913492982945
6,0.8868032438298309,1.3126043026205805
6,0.9059901599917878,1.3303911073308796
6,0.9266637092871494,1.3451995131322316
6,0.9488092270240941,1.3629775190274378
8,0.40514510712557383,1.0731445498672847
8,0.4317358595709112,1.087935358038451
8,0.46719508439530144,1.105673769265739
8,0.4937931691865495,1.1174905779355047
8,0.526293792435952,1.1352377879778859
8,0.5617383525685208,1.1589241982079748
8,0.6060440527342318,1.188532210995586
8,0.6400019797333959,1.215197020134622
8,0.6695220043700784,1.2418750274962973
8,0.7108397735771582,1.2833878371046035
8,0.7491989412092505,1.3249094455280024
8,0.8007984924696806,1.396131454297488
8,0.8287952222434046,1.4406578580751126
8,0.8567846196712178,1.4881582613541378
8,0.9141987212388732,1.6009986655130444
8,0.9391928553621446,1.6633778651141649
8,0.9494746374154946,1.6930870642753444
10,0.11362295013407342,1.006975870064313
10,0.18072466453239489,1.0235662617390622
10,0.2466447999817507,1.0408691274019546
10,0.31329893045925095,1.0616400802376356
10,0.38117338716904636,1.0894074975681054
10,0.44841816857552075,1.1215908257687965
10,0.5179113351007003,1.1680513720448615
10,0.5744377312744108,1.20805619509906
10,0.6394456990903002,1.2737133378630938
10,0.7203103613048149,1.385821158470824
10,0.6772504517539787,1.3205501019196082
10,0.7401225696667911,1.4196190764828858
10,0.7743160279107105,1.4900116720084169
10,0.8071062885224577,1.5576893752911118
10,0.8412209089175992,1.63813267635514
10,0.8752834992706578,1.740568251376716
10,0.8883779873199297,1.7900788192269474
10,0.8577561147691369,1.6941198496380268
10,0.9117538444575884,1.8726406880021642
10,0.9480026092288708,2.0901416967700204
10,0.9239940312376559,1.9346875966734896
10,0.9364495531885656,2.002727893384432



