X,Y
0.00008164931618692695,-0.01438048581343132
0.13472137170851195,0.18631353337415812
0.19640743008777317,0.2711675852214739
0.29287609716268637,0.39949989793835483
0.38773219024290684,0.509267197387222
0.48089406001224744,0.6045927740355177
0.5898958971218617,0.7000000000000002
0.7403551745254133,0.8018064911206371
0.7833435394978567,0.8308940600122476
0.9855276587058583,0.9205960400081652
1.1821800367421926,0.989650949173301
1.2628699734639723,1.0148091447234133
1.3829148805878753,1.05254133496632
1.5800979791794247,1.0947948560930807
1.777648499693815,1.1184935701163505
1.975076546233926,1.1483772198407842
