TAPER_RATIO,ASPECT_RATIO,TWIST_EFFECT
0,2.0289716889255143,0.005444756968801288
0,2.2343751064134088,0.005817810515541951
0,2.524023891087154,0.006284188743091033
0,2.7763513651563345,0.00667596326633464
0,3.112924206411366,0.00716106247038667
0,3.3655240988061257,0.007478303339751373
0,3.59013300824747,0.007739591430886979
0,3.7960812623865223,0.007963577669869848
0,4.086615406618404,0.008187721522312518
0,4.574312313989362,0.008468133379903894
0,4.893518486988621,0.008561895875878427
0,5.363303889452644,0.008600038333150097
0,5.626528096545055,0.008581895272666418
0,5.927618450893193,0.008489288608730423
0,6.397880585426983,0.008396997171714023
0,6.736564668705266,0.008304460558204605
0,7.074976333657966,0.008286457598574081
0,7.4319805493315565,0.008324389904566019
0,7.807781629470216,0.008362357235771249
0,8.22063160188786,0.008549461925160847
0,8.558498430189399,0.008680526273288115
0,8.952211015234997,0.008960763004813044
0,9.251734964211042,0.009296724850680702
0,9.495072633536061,0.00957668138049932
0,9.971736598720998,0.010304277648757425
0.2,2.0052712945999875,0.006786327713408135
0.2,2.2108109212506735,0.007122114433209349
0.2,2.47226440922681,0.007588440122938495
0.2,2.658939066831026,0.007942825230996143
0.2,2.8644786934817112,0.008278611950797356
0.2,3.088542766271887,0.008688967349690753
0.2,3.2942186020853628,0.008987487242552519
0.2,3.518486988619725,0.009341942401036744
0.2,3.7428915843168777,0.009659130732581522
0.2,4.004549386037199,0.0100695561819015
0.2,4.303732812106271,0.010498685095117775
0.2,4.640373757942698,0.01096515088570008
0.2,4.958422153058237,0.011375681410659921
0.2,5.2388768192436315,0.011786141885193184
0.2,5.472816056336108,0.012066080902405161
0.2,5.725347844149478,0.012401955185239595
0.2,5.987618587102355,0.012644679913332051
0.2,6.306552341776027,0.012812976063185481
0.2,6.720083360007627,0.01281374661787784
0.2,7.0583588157975425,0.012833010485186765
0.2,7.443490223587342,0.01288962874246836
0.2,7.941266609004791,0.012983723977969135
0.2,8.579542745840527,0.013208515796857652
0.2,9.207603195466948,0.013656891064776213
0.2,9.965607186395435,0.01455271343246117
0.4,2.00091260139069,0.00797886617547047
0.4,2.15026594839034,0.00825864757922265
0.4,2.35560126129684,0.00865033453943303
0.4,2.65451226904033,0.00915399710652821
0.4,2.95355948594662,0.00962039284668393
0.4,3.3460461885271,0.0102360310206638
0.4,3.6264327501311,0.0106651249086668
0.4,3.9068193117351,0.0110942187966698
0.4,4.20607084238556,0.0115047142964164
0.4,4.52398302833831,0.0119525116483157
0.4,4.87921652489563,0.0124749127045204
0.4,5.14107864036013,0.0128294379134312
0.4,5.55229410282429,0.0134637445260942
0.4,5.7391730741727,0.0137622293937427
0.4,6.03890133689293,0.0140422909992012
0.4,6.4330225494269,0.0142107272499078
0.4,6.95872181321637,0.0143794086771074
0.4,7.3151811922388,0.0145664082908571
0.4,7.85879196093521,0.0149773591183764
0.4,8.23370768151573,0.0152575608246881
0.4,8.6646734725845,0.0156310346739882
0.4,9.03938487942083,0.015967136620709
0.4,9.39502700346652,0.0163777371960954
0.4,9.67548166965192,0.0167881976706287
0.4,9.9744607819768,0.0172732268242541
1,2.00091260139069,0.00797886617547047
1,2.15026594839034,0.00825864757922265
1,2.35560126129684,0.00865033453943303
1,2.65451226904033,0.00915399710652821
1,2.95355948594662,0.00962039284668393
1,3.3460461885271,0.0102360310206638
1,3.6264327501311,0.0106651249086668
1,3.9068193117351,0.0110942187966698
1,4.20607084238556,0.0115047142964164
1,4.52398302833831,0.0119525116483157
1,4.87921652489563,0.0124749127045204
1,5.14107864036013,0.0128294379134312
1,5.55229410282429,0.0134637445260942
1,5.7391730741727,0.0137622293937427
1,6.03890133689293,0.0140422909992012
1,6.4330225494269,0.0142107272499078
1,6.95872181321637,0.0143794086771074
1,7.3151811922388,0.0145664082908571
1,7.85879196093521,0.0149773591183764
1,8.23370768151573,0.0152575608246881
1,8.6646734725845,0.0156310346739882
1,9.03938487942083,0.015967136620709
1,9.39502700346652,0.0163777371960954
1,9.67548166965192,0.0167881976706287
1,9.9744607819768,0.0172732268242541
