TAPER_RATIO,ASPECT_RATIO,TWIST_CORRECTION
0,3.0093092072838736,-0.00001921294317293112
0,3.4750376370578486,-0.000020747932392233134
0,3.8219130813634674,-0.000021852188612173948
0,4.1695702636639265,-0.000022623190940159104
0,4.517460304090507,-0.000023294926151391514
0,4.865982388002276,-0.00002369722204572361
0,5.215020086336173,-0.000023879712181531775
0,5.5648561553882026,-0.000023721857917044797
0,5.915116358884241,-0.000023383195689901037
0,6.2652435005939235,-0.00002310125752947313
0,6.614813446073242,-0.000023056851398417863
0,6.964017471640084,-0.000023168436450831204
0,7.31297200635751,-0.000023386379128336777
0,7.661449736340494,-0.00002380758304490749
0,8.00959203973704,-0.00002437177887965776
0,8.357856316437744,-0.000024883977653251827
0,8.705777946853438,-0.00002554224609315083
0,9.048202693230364,-0.000026286604701786778
0,9.401227048698184,-0.000027026812437059737
0,9.748485045639576,-0.00002796798696519246
0,10.095360489945195,-0.00002907224318513327
0,10.442091783982262,-0.000030237950477349592
0,10.788063516988883,-0.00003172745765040225
0,11.062589288079918,-0.00003320175676568523
0,11.27601134440071,-0.000034992132448803925
0,11.51027256867683,-0.000037759891782071164
0.4,2.9997030327783225,-0.00002227244819729462
0.4,3.369163224978733,-0.00002525201831509584
0.4,3.5848059874696663,-0.000026998599585189147
0.4,3.924430383454526,-0.000028628940607575082
0.4,4.2469756313316065,-0.000030255421677106214
0.4,4.541744674126223,-0.00003132278623133896
0.4,4.9091276722280615,-0.000032391135711259554
0.4,5.257001079931348,-0.00003306996143083145
0.4,5.605423367503349,-0.00003351480037520045
0.4,5.954145044094652,-0.00003383201016945876
0.4,6.303099578812079,-0.00003404995284696432
0.4,6.652253706209036,-0.00003418280942439611
0.4,7.001590793562233,-0.0000342376704100936
0.4,7.350977779085312,-0.00003427125987077263
0.4,7.700182124512217,-0.000034382708567256366
0.4,8.04923561784067,-0.000034558465317397816
0.4,8.398105313484148,-0.00003481257478194635
0.4,8.746668400409753,-0.00003519739114473094
0.4,9.09561739088608,-0.00003541769732501634
0.4,9.443659319148459,-0.00003602468294910469
0.4,9.791597064418774,-0.00003667608164740737
0.4,10.128341532704896,-0.00003758471107099046
0.4,10.438545548769858,-0.000038521379017434645
0.4,10.736784831072113,-0.00004004414871194899
0.4,11.012280229658261,-0.00004197326010000516
0.6,3.140406004927934,-0.00002476769952922702
0.6,2.9816111611848655,-0.00002330633397439781
0.6,3.345120411231999,-0.00002631751201269736
0.6,3.574125035933802,-0.000027948998012621303
0.6,3.863690941817456,-0.00002974824033334961
0.6,4.136436492801119,-0.0000311050135326537
0.6,4.496103887380441,-0.0000323991388592863
0.6,4.843079128025828,-0.00003346085202919022
0.6,5.190592160057733,-0.00003429330542945089
0.6,5.538918002204918,-0.00003477925893316567
0.6,5.887214965557812,-0.00003527752342938196
0.6,6.235546032086031,-0.000035761249786246515
0.6,6.583327700876861,-0.00003647918368505714
0.6,6.931966213851691,-0.00003683184602101287
0.6,7.280987279462295,-0.000037021426665160515
0.6,7.6304407958785525,-0.00003702665409248162
0.6,7.9797806553522985,-0.00003708033332678919
0.6,8.328848847012235,-0.0000372498241973083
0.6,8.677820014452953,-0.00003746067636647439
0.6,9.02382362684589,-0.00003780798121945337
0.6,9.374581425980486,-0.00003838580679690978
0.6,9.74308877789931,-0.00003935931798563759
0.6,10.134047373910422,-0.00004075569180946315
0.6,10.482500619671756,-0.00004269669707831235
