STATIC_MARGIN,SWEEP_25,ASPECT_RATIO,INTERMEDIATE_COEFF
0,0,0.9956486423764224,0.5197454939274389
0,0,1.1303014040380601,0.6862211843428483
0,0,1.2748970178695753,0.9150784211340612
0,0,1.5237946739382693,1.1856361684845673
0,0,1.8147264446507316,1.4354524444960162
0,0,1.9810353330239039,1.5707796665893086
0,0,2.0851633209561395,1.6332699969057
0,0,2.3771394174982596,1.7583473543745654
0,0,2.585569447667673,1.8625381952502518
0,0,2.8463245532606196,1.9667894716484882
0,0,3.023533592480854,2.0501542314535466
0,0,3.3159448247853343,2.123257039529667
0,0,3.6501290902761676,2.2068031059023756
0,0,3.942714376885589,2.259116094221397
0,0,4.339601705732189,2.3531295930997125
0,0,4.590413959155256,2.3949993231221467
0,0,4.924859306103505,2.447360659859209
0,0,5.489534984915295,2.4999879128954903
0,0,5.91807844047343,2.5628529434516896
0,0,6.221476850777442,2.573598379361027
0,0,6.514323218844281,2.5947266380444027
0,0,6.890889707588768,2.6159515935638575
0,0,7.3721063471803205,2.6372974201284123
0,0,8.04169325829659,2.6588608145741466
0,0,8.9208415525644,2.6494812214744328
0,0,9.318599152935718,2.6395456215672617
0,0,9.988186064051986,2.6611090160129955
0,40,0.9892086330935257,1.2889688249400484
0,40,1.1346745184497573,1.4138769629457726
0,40,1.3425823857043406,1.5804372630927515
0,40,1.4986873404502212,1.6845676684458883
0,40,1.831827280111396,1.8928526533611816
0,40,2.0402573102808077,1.997043494236868
0,40,2.3324074611278727,2.1013310319486345
0,40,2.6871736481782325,2.2264809120445577
0,40,3.104816952889302,2.3413084048889923
0,40,3.5017042817359023,2.4353219037673086
0,40,4.003328788582038,2.5190613638121757
0,40,4.421233174750523,2.602704127020963
0,40,4.964891796240428,2.665702115726773
0,40,5.404074321188213,2.7077894136303855
0,40,6.282613425388723,2.7711741896805133
0,40,7.161326583894176,2.8137691459735428
0,40,7.99844076351822,2.825131024212887
0,40,8.8983450336505,2.8365654250792907
0,40,9.610140113715481,2.8165975284288693
0,40,9.986706602459968,2.837822483948324
0,50,0.9926244488280354,2.130968612207009
0,50,1.263844569505685,2.235231975709755
0,50,1.5768377233696924,2.3499385975090883
0,50,1.9109349617080529,2.4438795737603467
0,50,2.307735263402183,2.548287982517211
0,50,2.704709619401254,2.6319065715169794
0,50,3.059997969366444,2.6946869923416097
0,50,3.7290627175678814,2.778619846058637
0,50,4.586497737294037,2.862770267656842
0,50,5.5695999651891395,2.9366708246306175
0,50,6.3017158853562325,2.9894914713390572
0,50,6.8875826757948495,3.0109581689487106
0,50,7.3060962520306365,3.021836563007657
0,50,7.871381120909726,3.001699446894097
0,50,8.520212056161522,3.0024488473737136
0,50,9.210903051752148,3.0032465962713695
0,50,9.629590682292879,2.9933351705732183
0,50,9.96438413785101,3.004116867796085
0,60,0.9934512067765153,4.532216968360795
0,60,1.2037958343003021,4.407719791908408
0,60,1.5399817242979825,4.252182931074495
0,60,1.8547154212114183,4.158991355302854
0,60,2.221687166395916,4.076255124932311
0,60,2.567728881411001,3.993494720352749
0,60,3.049467683917384,3.952471087646012
0,60,3.656960721745186,3.8908026804362956
0,60,4.620351299605479,3.8191503249013694
0,60,5.373919412856813,3.8096256865475358
0,60,6.023011429566026,3.779190357391506
0,60,6.650999361800883,3.7695206737835534
0,60,7.236953179391971,3.780592461514658
0,60,7.864767057321888,3.7917125976638033
0,60,8.388017811557209,3.7923169528893004
0,60,9.162428927825484,3.7932113986230362
0,60,9.978613077280112,3.80454910265336
0.2,0,1.0000870279940055,1.6528066528066532
0.2,0,1.3029879611274962,1.7463617463617478
0.2,0,1.700009669777112,1.8503118503118525
0.2,0,1.9925107576270364,1.9334719334719335
0.2,0,2.2641468839143264,2.006237006237008
0.2,0,2.661364405550453,2.0790020790020804
0.2,0,2.8913358797079733,2.1205821205821227
0.2,0,3.2258279746651852,2.1829521829521834
0.2,0,3.8113523183290625,2.266112266112268
0.2,0,4.668904414253252,2.3596673596673607
0.2,0,5.254494028912633,2.4324324324324333
0.2,0,6.133172170381474,2.494802494802496
0.2,0,6.8652734129478326,2.5675675675675684
0.2,0,7.513914809263648,2.5987525987526006
0.2,0,8.204351399700238,2.640332640332641
0.2,0,8.811328143886284,2.640332640332641
0.2,0,9.460230624184113,2.6299376299376327
0.2,0,10.00441667069574,2.629937629937631
0.2,40,1.0053957356282939,2.4740124740124756
0.2,40,1.3194797659913937,2.4532224532224554
0.2,40,1.79034472755403,2.4636174636174655
0.2,40,2.365730309916358,2.494802494802495
0.2,40,2.8050693806507767,2.525987525987527
0.2,40,3.2234782188270574,2.557172557172559
0.2,40,3.641821786007833,2.5987525987526006
0.2,40,4.206742252091091,2.629937629937631
0.2,40,4.771662718174346,2.661122661122663
0.2,40,5.23199729246241,2.681912681912684
0.2,40,5.776118067978533,2.6923076923076943
0.2,40,6.278378378378379,2.7027027027027044
0.2,40,6.780638688778225,2.7130977130977145
0.2,40,7.3666199294106285,2.7234927234927246
0.2,40,7.868945510805975,2.7234927234927246
0.2,40,8.873400860610166,2.754677754677756
0.2,40,9.480573417782722,2.7234927234927246
0.2,40,10.003763960740706,2.7338877338877356
0.2,50,0.9961272542667898,3.9501039501039514
0.2,50,1.0288280230140692,3.7422037422037446
0.2,50,1.1872407291011942,3.513513513513515
0.2,50,1.2925446018469278,3.40956340956341
0.2,50,1.492099792099793,3.295218295218297
0.2,50,1.7335154474689358,3.180873180873183
0.2,50,2.006195909684282,3.0873180873180885
0.2,50,2.2786805589131176,3.024948024948027
0.2,50,2.46718319392738,3.0041580041580067
0.2,50,2.6345597833969934,3.014553014553016
0.2,50,3.1160856742252103,2.993762993762995
0.2,50,3.367379006913892,2.9729729729729746
0.2,50,3.7651839675095498,2.9521829521829535
0.2,50,4.1211284629889295,2.931392931392933
0.2,50,4.393221486244743,2.9313929313929323
0.2,50,4.958468307305516,2.910602910602911
0.2,50,5.481985205241019,2.8690228690228707
0.2,50,6.1728134216506305,2.8482328482328496
0.2,50,7.219455591548616,2.8274428274428294
0.2,50,7.575334816032491,2.8170478170478193
0.2,50,8.182246289223034,2.8274428274428294
0.2,50,8.663641638060245,2.8274428274428294
0.2,50,9.019455591548615,2.8274428274428294
0.2,50,9.500916211381329,2.8170478170478193
0.2,50,10.00311125078567,2.8378378378378395
0.2,60,1.994186046511628,5.000000000000001
0.2,60,2.215454721268675,4.760914760914763
0.2,60,2.562239520379055,4.532224532224534
0.2,60,2.8979717642508347,4.397089397089398
0.2,60,3.3171638543731583,4.303534303534304
0.2,60,3.7572209060581163,4.220374220374222
0.2,60,4.008514238746798,4.199584199584201
0.2,60,4.4901706715660215,4.15800415800416
0.2,60,5.013752840497027,4.1060291060291085
0.2,60,5.3277063288691195,4.106029106029108
0.2,60,5.6417250882367185,4.095634095634097
0.2,60,6.1232509790649345,4.074844074844076
0.2,60,6.583716095344004,4.074844074844076
0.2,60,7.274283227771601,4.095634095634097
0.2,60,7.651027413818115,4.095634095634097
0.2,60,8.090562297539043,4.095634095634097
0.2,60,8.718534545278732,4.0852390852390865
0.2,60,9.05348353720447,4.074844074844076
0.2,60,9.430097181259974,4.095634095634097
0.2,60,9.995278731325243,4.0852390852390865
0.4,0,0.700452414563991,1.215870163283551
0.4,0,1.262169180883919,1.4452091754876637
0.4,0,1.7407818725819424,1.6224771504145536
0.4,0,2.3860580189156493,1.831122653009075
0.4,0,3.031334165249358,2.0397681556035945
0.4,0,3.406180590017971,2.1337561972122465
0.4,0,3.9268981898599393,2.2487027409866087
0.4,0,4.781137829855506,2.3952195342875964
0.4,0,5.448116866535294,2.4687549686104013
0.4,0,6.594619205696858,2.5740292840864463
0.4,0,7.61656299836668,2.5856046407423374
0.4,0,8.617649467846764,2.5971559071658543
0.4,0,9.389370425867128,2.5980472457637074
0.4,0,9.994297841996982,2.5883509272330176
0.4,40,0.9947097849705853,4.1891830038592435
0.4,40,1.0167378934537195,4.002098259239796
0.4,40,1.038896089191676,3.7942236440812565
0.4,40,1.0918199206949546,3.6695446464276404
0.4,40,1.2079661580415606,3.440988566775694
0.4,40,1.4495165090362456,3.1709972874398122
0.4,40,1.6799877621619532,3.0049433156831995
0.4,40,1.9414197819352155,2.8909001556228766
0.4,40,2.275852432872568,2.7769413113758645
0.4,40,2.6516094684249327,2.7254002592108737
0.4,40,3.777969964298275,2.716306196489544
0.4,40,4.2784806772246124,2.727279297336075
0.4,40,5.154553294821081,2.7178961518262543
0.4,40,5.696843697754309,2.718522497867987
0.4,40,6.593513464030874,2.7507431836687246
0.4,40,7.239765264775745,2.8034646572200597
0.4,40,7.8859520218932015,2.86658106604094
0.4,40,8.59471074857988,2.929769745558941
0.4,40,9.282612152076819,2.9929343348445716
0.4,40,9.699563484989376,3.0246009453006977
0.4,40,9.970383468318934,3.0768887946692924
0.4,50,1.6049274161298555,5.000698616738855
0.4,50,1.6066835940699478,4.72003536446112
0.4,50,1.7026879881283326,4.3771109066117955
0.4,50,1.808665738389712,4.1069630407654785
0.4,50,1.924291626717031,3.9615664432698985
0.4,50,2.102359397358746,3.8370319870105316
0.4,50,2.562716510963465,3.598478460923216
0.4,50,3.189411861066811,3.4432771388512613
0.4,50,3.7321575693919145,3.371138938006176
0.4,50,4.149499164068937,3.3404359368450276
0.4,50,4.608360274243205,3.340965921957265
0.4,50,5.1507807644312535,3.3208023974599072
0.4,50,5.964216368831094,3.321741916522507
0.4,50,6.798444252793262,3.333100461087028
0.4,50,7.236448039777791,3.333606355966891
0.4,50,7.8204530890904955,3.3342808824733723
0.4,50,8.216677186068138,3.3451335321580338
0.4,50,9.050970113657716,3.3460971414530096
0.4,50,9.989549657195992,3.347181201909857
0.4,60,1.7386354328773845,6.9655100143096185
0.4,60,1.771027159327979,6.788832250075901
0.4,60,1.87713499684418,6.497894513690493
0.4,60,2.014528819144989,6.206992912653648
0.4,60,2.172649877380717,5.936905272388266
0.4,60,2.414330315630225,5.646124122513292
0.4,60,2.561242188742152,5.500763660366271
0.4,60,2.8337533063843936,5.2827831927266775
0.4,60,3.189823804040413,5.0441092154774925
0.4,60,3.472308277885648,4.898905339840907
0.4,60,3.7442340028811922,4.774479289627225
0.4,60,3.995042230177352,4.691608890259351
0.4,60,4.548867036371433,4.515533381834995
0.4,60,5.269290253573786,4.381230336347816
0.4,60,6.041596604240844,4.288567257519759
0.4,60,6.751005767201631,4.247806584342301
0.4,60,7.147490038688913,4.2170794929487805
0.4,60,7.794067057570835,4.217826290152386
0.4,60,8.252928167745106,4.2183562752646235
0.4,60,8.961947068941427,4.239965213704442
0.4,60,9.358236209546478,4.240422928119557
0.4,60,9.97333211276156,4.272318395783238
