taper_1_0_X,taper_1_0_Y,taper_0_5_X,taper_0_5_Y,taper_0_333_X,taper_0_333_Y,taper_0_25_X,taper_0_25_Y
0,0,0,0,0,0,0,0
0.10222222222222227,0.09739130434782628,0.10222222222222227,0.1617391304347826,0.10044444444444448,0.20347826086956533,0.10222222222222227,0.231304347826087
0.2,0.1982608695652175,0.19822222222222224,0.3165217391304349,0.19822222222222224,0.3930434782608696,0.19822222222222224,0.44000000000000006
0.2995555555555555,0.3008695652173914,0.2995555555555555,0.462608695652174,0.2995555555555555,0.5565217391304348,0.2977777777777778,0.6173913043478262
0.39733333333333326,0.4017391304347826,0.3991111111111111,0.5930434782608696,0.3955555555555555,0.6973913043478261,0.39733333333333326,0.7617391304347827
0.4968888888888889,0.5060869565217391,0.4968888888888889,0.7026086956521739,0.4968888888888889,0.8104347826086957,0.4968888888888889,0.8817391304347827
0.5964444444444443,0.6034782608695652,0.5946666666666665,0.7965217391304348,0.5946666666666665,0.9008695652173914,0.5946666666666665,0.9686956521739131
0.6924444444444444,0.7060869565217391,0.6942222222222221,0.871304347826087,0.6942222222222221,0.9704347826086956,0.6942222222222221,1.0330434782608697
0.7919999999999998,0.8052173913043479,0.7937777777777777,0.942608695652174,0.7919999999999998,1.022608695652174,0.7937777777777777,1.08
0.8933333333333333,0.9043478260869565,0.8915555555555554,1.0017391304347827,0.8897777777777776,1.066086956521739,0.8897777777777776,1.1113043478260871
0.9875555555555553,1.0034782608695654,0.9875555555555553,1.0556521739130436,0.9857777777777776,1.1008695652173914,0.9875555555555553,1.128695652173913
