,time [s],altitude [m],ground_distance [m],mass [kg],true_airspeed [m/s],equivalent_airspeed [m/s],mach [-],engine_setting,CL [-],CD [-],lift [N],drag [N],thrust [N],thrust_rate [-],thrust_is_regulated,sfc [kg/N/s],alpha [rad],slope_angle_derivative [rad/s],name,gamma [rad],CL_wing [-],CL_htp [-]
0,0.0,15.24,0.0,1727.992110265201,46.58359225410682,46.54952106286339,0.13691522180352722,2,0.7757698609072047,0.05668528192915166,,1185.867319760418,3557.4677339069417,0.8996839877687561,True,6.138175460157807e-06,9.045962148446817,,sizing:main_route:climb,0.1363270301004776,0.7557529852630992,0.02001687564410547
1,4.776,45.4766172,220.4190045136997,1727.8878198043747,46.65090847678216,46.54913127174912,0.13715987319493414,2,0.7759679369132501,0.05670142051375542,,1186.1850764108613,3540.3082553808918,0.8991571402452189,True,6.137941743428458e-06,9.048305707088938,,sizing:main_route:climb,0.13531138565262574,0.755947921783953,0.020020015129297068
2,9.552,75.53272179531602,441.1871685369985,1727.7840363413532,46.717963512244175,46.54874217168382,0.1374036592582258,2,0.776163515425561,0.0567173610796422,,1186.498714695989,3523.2929135315712,0.8986243640905158,True,6.137770131538872e-06,9.050619846181547,,sizing:main_route:climb,0.13430443700990352,0.7561404170885621,0.020023098336998904
3,14.328,105.40939144619793,662.3028564462533,1727.6807545675965,46.78475762429254,46.54835377016786,0.13764657988834886,2,0.7763566348204975,0.0567331070611642,,1186.8083070787104,3506.419854555019,0.8980856638103231,True,6.137663363697144e-06,9.052905087586305,,sizing:main_route:climb,0.13330609613965438,0.7563305086183828,0.02002612620211475
4,19.104,135.10769737926418,883.7644396595148,1727.5779691985294,46.851291085053326,46.54796607461933,0.13788863501789653,2,0.7765473297489159,0.0567486610972872,,1187.1139093740862,3489.687697607989,0.8975411584710877,True,6.137623798229304e-06,9.05516183734813,,sizing:main_route:climb,0.1323162760705713,0.7565182301491401,0.020029099599775897
5,23.88,164.62870442590997,1105.5702965836208,1727.4756749666415,46.917564174877604,46.54757909236634,0.1381298246167513,2,0.7767356342642353,0.056764025783709066,,1187.4155764834766,3473.095077140976,0.8969909662898433,True,6.137653543888986e-06,9.05739049453217,,sizing:main_route:climb,0.13133489087746153,0.7567036148759883,0.02003201938824706
6,28.656,193.97347106048733,1327.7188125624284,1727.3738666256643,46.98357718225522,46.547192830654424,0.13837014869177025,2,0.7769215818354035,0.0567792036737549,,1187.713362413721,3456.640642693433,0.8964352048798168,True,6.1377545612389215e-06,9.059591451375477,,sizing:main_route:climb,0.1303618556662325,0.7568866954260534,0.020034886409350097
7,33.431999999999995,223.14304943825616,1550.2083798262292,1727.2725389529676,47.04933040371954,46.54680729664443,0.1386096072864436,2,0.7771052053590886,0.056794197279200286,,1188.0073202943188,3440.323058699871,0.8958739909421609,True,6.137928648835803e-06,9.061765093427553,,sizing:main_route:climb,0.12939708655916415,0.7570675038702399,0.020037701488848682
8,38.208,252.13848543310985,1773.037397442266,1727.1716867521232,47.114824143750496,46.54642249740874,0.13884820048054705,2,0.7772865371716151,0.05680900907109651,,1188.2975023945758,3424.141004318829,0.8953074382540578,True,6.13817747205886e-06,9.06391179969046,,sizing:main_route:climb,0.128440500680439,0.7572460717347856,0.020040465436829386
9,42.983999999999995,280.9608186750741,1996.2042712663226,1727.0713048549326,47.1800587146867,46.546038439936154,0.13908592838982045,2,0.7774656090598605,0.05682364148050525,,1188.5839601392815,3408.093173307469,0.8947356602540527,True,6.138502564883091e-06,9.066031942745086,,sizing:main_route:climb,0.12749201614189612,0.7574224300118105,0.02004317904804996
10,47.75999999999999,309.6110825875839,2219.707413895391,1726.9713881233695,47.245034436631784,46.54565513113066,0.13932279116562796,2,0.7776424522730605,0.05683809689931669,,1188.8667441258358,3392.1782737644758,0.8941587712600444,True,6.1389053328820926e-06,9.068125888888888,,sizing:main_route:climb,0.12655155202904525,0.7575966091707604,0.020045843102300058
11,52.53599999999999,338.09030442453604,2443.545244621365,1726.8719314514249,47.30975163736159,46.54527257781103,0.13955878899462076,2,0.7778170975336033,0.05685237768098805,,1189.145904139736,3376.395027977403,0.8935768862048752,True,6.1393870878453045e-06,9.07019399826146,,sizing:main_route:climb,0.1256190283873164,0.7577686391688615,0.0200484583647418
12,57.31199999999998,366.3995053071217,2667.71618938574,1726.7729297663468,47.374210652227625,46.54489078670621,0.1397939220983874,2,0.7779895750466082,0.056866486141190366,,1189.4214891679408,3360.742172390547,0.8929901189020759,True,6.1399490561050655e-06,9.072236624956194,,sizing:main_route:climb,0.12469436620855368,0.7579385494603877,0.02005102558622045
13,62.08799999999998,394.53970026043805,2892.2186807352546,1726.6743780297045,47.43841182407635,46.54450976446619,0.1400281907331503,2,0.7781599145113349,0.0568804245586048,,1189.693547416145,3345.218457219013,0.892398582701153,True,6.140592341805177e-06,9.07425411715298,,sizing:main_route:climb,0.12377748741769536,0.7581063690077459,0.020053545503589124
14,66.86399999999998,422.51189824988325,3117.051157778549,1726.5762712390201,47.5023555031501,46.544129517654454,0.14026159518940728,2,0.7783281451310657,0.056894195175605365,,1189.9621263227334,3329.822646363103,0.8918023910781508,True,6.141317927489333e-06,9.076246817233967,,sizing:main_route:climb,0.1228683148597277,0.7582721262910397,0.020056018840026082
15,71.63999999999997,450.31710221733147,3342.2120661437084,1726.4786044293435,47.566042046994475,46.543750052746475,0.14049413579159187,2,0.7784942956222969,0.05690780019887974,,1190.227272571755,3314.553517363089,0.8912016576886459,True,6.1421266773997065e-06,9.07821506188982,,sizing:main_route:climb,0.12196677228684052,0.7584358493169615,0.02005844630533549
